lead_id,company,person,email,email_valid,vertical,step,subject,body,linkedin_connect,linkedin_dm
c0b885fe69,Applied,,,False,HR-tech,1,ai act · Applied,"Applied's LLM for your LLM-driven decisions is high-risk under the EU AI Act (live Aug 2026), and providers change models with no changelog.
Verispect proves yours isn't drifting/biased in 1 line of code — we never see your data.
Free 5-min snapshot of your model? https://verispectai.com/founding

— Ajay, Verispect · https://verispectai.com/founding?unsub=c0b885fe69 to opt out",Applied runs LLMs in your LLM-driven decisions; that's high-risk under the EU AI Act from Aug 2026. Built Verispect to prove a model isn't biased/drifting in 1 line (we never see your data). Worth connecting?,"thanks! quick + real: Aug 2026 the AI Act needs your your LLM-driven decisions model to prove no bias/drift. Verispect does it in one line, we never see your data.
free 5-min snapshot of Applied's model? just your real numbers, no pitch."
daba68e3c0,Maki/Neobrain,,,False,HR-tech,1,ai act · Maki/Neobrain,"Maki/Neobrain's LLM for your LLM-driven decisions is high-risk under the EU AI Act (live Aug 2026), and providers change models with no changelog.
Verispect proves yours isn't drifting/biased in 1 line of code — we never see your data.
Free 5-min snapshot of your model? https://verispectai.com/founding

— Ajay, Verispect · https://verispectai.com/founding?unsub=daba68e3c0 to opt out",Maki/Neobrain runs LLMs in your LLM-driven decisions; that's high-risk under the EU AI Act from Aug 2026. Built Verispect to prove a model isn't biased/drifting in 1 line (we never see your data). Worth connecting?,"thanks! quick + real: Aug 2026 the AI Act needs your your LLM-driven decisions model to prove no bias/drift. Verispect does it in one line, we never see your data.
free 5-min snapshot of Maki/Neobrain's model? just your real numbers, no pitch."
6ae4e78789,AssessFirst,,,False,HR-tech,1,ai act · AssessFirst,"AssessFirst's LLM for your LLM-driven decisions is high-risk under the EU AI Act (live Aug 2026), and providers change models with no changelog.
Verispect proves yours isn't drifting/biased in 1 line of code — we never see your data.
Free 5-min snapshot of your model? https://verispectai.com/founding

— Ajay, Verispect · https://verispectai.com/founding?unsub=6ae4e78789 to opt out",AssessFirst runs LLMs in your LLM-driven decisions; that's high-risk under the EU AI Act from Aug 2026. Built Verispect to prove a model isn't biased/drifting in 1 line (we never see your data). Worth connecting?,"thanks! quick + real: Aug 2026 the AI Act needs your your LLM-driven decisions model to prove no bias/drift. Verispect does it in one line, we never see your data.
free 5-min snapshot of AssessFirst's model? just your real numbers, no pitch."
d3c472e87e,Orbio,,,False,HR-tech,1,ai act · Orbio,"Orbio's LLM for your LLM-driven decisions is high-risk under the EU AI Act (live Aug 2026), and providers change models with no changelog.
Verispect proves yours isn't drifting/biased in 1 line of code — we never see your data.
Free 5-min snapshot of your model? https://verispectai.com/founding

— Ajay, Verispect · https://verispectai.com/founding?unsub=d3c472e87e to opt out",Orbio runs LLMs in your LLM-driven decisions; that's high-risk under the EU AI Act from Aug 2026. Built Verispect to prove a model isn't biased/drifting in 1 line (we never see your data). Worth connecting?,"thanks! quick + real: Aug 2026 the AI Act needs your your LLM-driven decisions model to prove no bias/drift. Verispect does it in one line, we never see your data.
free 5-min snapshot of Orbio's model? just your real numbers, no pitch."
207b0f21b1,Wrksense,,,False,HR-tech,1,ai act · Wrksense,"Wrksense's LLM for your LLM-driven decisions is high-risk under the EU AI Act (live Aug 2026), and providers change models with no changelog.
Verispect proves yours isn't drifting/biased in 1 line of code — we never see your data.
Free 5-min snapshot of your model? https://verispectai.com/founding

— Ajay, Verispect · https://verispectai.com/founding?unsub=207b0f21b1 to opt out",Wrksense runs LLMs in your LLM-driven decisions; that's high-risk under the EU AI Act from Aug 2026. Built Verispect to prove a model isn't biased/drifting in 1 line (we never see your data). Worth connecting?,"thanks! quick + real: Aug 2026 the AI Act needs your your LLM-driven decisions model to prove no bias/drift. Verispect does it in one line, we never see your data.
free 5-min snapshot of Wrksense's model? just your real numbers, no pitch."
1f602c7c04,HrFlow/Carv tier,,,False,HR-tech,1,ai act · HrFlow/Carv tier,"HrFlow/Carv tier's LLM for your LLM-driven decisions is high-risk under the EU AI Act (live Aug 2026), and providers change models with no changelog.
Verispect proves yours isn't drifting/biased in 1 line of code — we never see your data.
Free 5-min snapshot of your model? https://verispectai.com/founding

— Ajay, Verispect · https://verispectai.com/founding?unsub=1f602c7c04 to opt out",HrFlow/Carv tier runs LLMs in your LLM-driven decisions; that's high-risk under the EU AI Act from Aug 2026. Built Verispect to prove a model isn't biased/drifting in 1 line (we never see your data). Worth connecting?,"thanks! quick + real: Aug 2026 the AI Act needs your your LLM-driven decisions model to prove no bias/drift. Verispect does it in one line, we never see your data.
free 5-min snapshot of HrFlow/Carv tier's model? just your real numbers, no pitch."
fb70c374f9,TestGorilla,,,False,HR-tech,1,ai act · TestGorilla,"TestGorilla's LLM for your LLM-driven decisions is high-risk under the EU AI Act (live Aug 2026), and providers change models with no changelog.
Verispect proves yours isn't drifting/biased in 1 line of code — we never see your data.
Free 5-min snapshot of your model? https://verispectai.com/founding

— Ajay, Verispect · https://verispectai.com/founding?unsub=fb70c374f9 to opt out",TestGorilla runs LLMs in your LLM-driven decisions; that's high-risk under the EU AI Act from Aug 2026. Built Verispect to prove a model isn't biased/drifting in 1 line (we never see your data). Worth connecting?,"thanks! quick + real: Aug 2026 the AI Act needs your your LLM-driven decisions model to prove no bias/drift. Verispect does it in one line, we never see your data.
free 5-min snapshot of TestGorilla's model? just your real numbers, no pitch."
db9acb32d1,Globus.ai,,,False,HR-tech,1,ai act · Globus.ai,"Globus.ai's LLM for your LLM-driven decisions is high-risk under the EU AI Act (live Aug 2026), and providers change models with no changelog.
Verispect proves yours isn't drifting/biased in 1 line of code — we never see your data.
Free 5-min snapshot of your model? https://verispectai.com/founding

— Ajay, Verispect · https://verispectai.com/founding?unsub=db9acb32d1 to opt out",Globus.ai runs LLMs in your LLM-driven decisions; that's high-risk under the EU AI Act from Aug 2026. Built Verispect to prove a model isn't biased/drifting in 1 line (we never see your data). Worth connecting?,"thanks! quick + real: Aug 2026 the AI Act needs your your LLM-driven decisions model to prove no bias/drift. Verispect does it in one line, we never see your data.
free 5-min snapshot of Globus.ai's model? just your real numbers, no pitch."
76cca9e877,Beamery,,,False,HR-tech,1,ai act · Beamery,"Beamery's LLM for your LLM-driven decisions is high-risk under the EU AI Act (live Aug 2026), and providers change models with no changelog.
Verispect proves yours isn't drifting/biased in 1 line of code — we never see your data.
Free 5-min snapshot of your model? https://verispectai.com/founding

— Ajay, Verispect · https://verispectai.com/founding?unsub=76cca9e877 to opt out",Beamery runs LLMs in your LLM-driven decisions; that's high-risk under the EU AI Act from Aug 2026. Built Verispect to prove a model isn't biased/drifting in 1 line (we never see your data). Worth connecting?,"thanks! quick + real: Aug 2026 the AI Act needs your your LLM-driven decisions model to prove no bias/drift. Verispect does it in one line, we never see your data.
free 5-min snapshot of Beamery's model? just your real numbers, no pitch."
52a361677b,HeyJobs,,,False,HR-tech,1,ai act · HeyJobs,"HeyJobs's LLM for your LLM-driven decisions is high-risk under the EU AI Act (live Aug 2026), and providers change models with no changelog.
Verispect proves yours isn't drifting/biased in 1 line of code — we never see your data.
Free 5-min snapshot of your model? https://verispectai.com/founding

— Ajay, Verispect · https://verispectai.com/founding?unsub=52a361677b to opt out",HeyJobs runs LLMs in your LLM-driven decisions; that's high-risk under the EU AI Act from Aug 2026. Built Verispect to prove a model isn't biased/drifting in 1 line (we never see your data). Worth connecting?,"thanks! quick + real: Aug 2026 the AI Act needs your your LLM-driven decisions model to prove no bias/drift. Verispect does it in one line, we never see your data.
free 5-min snapshot of HeyJobs's model? just your real numbers, no pitch."
06c61737a2,Job&Talent,,,False,HR-tech,1,ai act · Job&Talent,"Job&Talent's LLM for your LLM-driven decisions is high-risk under the EU AI Act (live Aug 2026), and providers change models with no changelog.
Verispect proves yours isn't drifting/biased in 1 line of code — we never see your data.
Free 5-min snapshot of your model? https://verispectai.com/founding

— Ajay, Verispect · https://verispectai.com/founding?unsub=06c61737a2 to opt out",Job&Talent runs LLMs in your LLM-driven decisions; that's high-risk under the EU AI Act from Aug 2026. Built Verispect to prove a model isn't biased/drifting in 1 line (we never see your data). Worth connecting?,"thanks! quick + real: Aug 2026 the AI Act needs your your LLM-driven decisions model to prove no bias/drift. Verispect does it in one line, we never see your data.
free 5-min snapshot of Job&Talent's model? just your real numbers, no pitch."
a54479657e,Taktile,,,False,Fintech,1,ai act · Taktile,"Taktile's LLM for your LLM-driven decisions is high-risk under the EU AI Act (live Aug 2026), and providers change models with no changelog.
Verispect proves yours isn't drifting/biased in 1 line of code — we never see your data.
Free 5-min snapshot of your model? https://verispectai.com/founding

— Ajay, Verispect · https://verispectai.com/founding?unsub=a54479657e to opt out",Taktile runs LLMs in your LLM-driven decisions; that's high-risk under the EU AI Act from Aug 2026. Built Verispect to prove a model isn't biased/drifting in 1 line (we never see your data). Worth connecting?,"thanks! quick + real: Aug 2026 the AI Act needs your your LLM-driven decisions model to prove no bias/drift. Verispect does it in one line, we never see your data.
free 5-min snapshot of Taktile's model? just your real numbers, no pitch."
e19bf99fbf,Banxware,,,False,Fintech,1,ai act · Banxware,"Banxware's LLM for your LLM-driven decisions is high-risk under the EU AI Act (live Aug 2026), and providers change models with no changelog.
Verispect proves yours isn't drifting/biased in 1 line of code — we never see your data.
Free 5-min snapshot of your model? https://verispectai.com/founding

— Ajay, Verispect · https://verispectai.com/founding?unsub=e19bf99fbf to opt out",Banxware runs LLMs in your LLM-driven decisions; that's high-risk under the EU AI Act from Aug 2026. Built Verispect to prove a model isn't biased/drifting in 1 line (we never see your data). Worth connecting?,"thanks! quick + real: Aug 2026 the AI Act needs your your LLM-driven decisions model to prove no bias/drift. Verispect does it in one line, we never see your data.
free 5-min snapshot of Banxware's model? just your real numbers, no pitch."
a81d410410,Karmen,,,False,Fintech,1,ai act · Karmen,"Karmen's LLM for your LLM-driven decisions is high-risk under the EU AI Act (live Aug 2026), and providers change models with no changelog.
Verispect proves yours isn't drifting/biased in 1 line of code — we never see your data.
Free 5-min snapshot of your model? https://verispectai.com/founding

— Ajay, Verispect · https://verispectai.com/founding?unsub=a81d410410 to opt out",Karmen runs LLMs in your LLM-driven decisions; that's high-risk under the EU AI Act from Aug 2026. Built Verispect to prove a model isn't biased/drifting in 1 line (we never see your data). Worth connecting?,"thanks! quick + real: Aug 2026 the AI Act needs your your LLM-driven decisions model to prove no bias/drift. Verispect does it in one line, we never see your data.
free 5-min snapshot of Karmen's model? just your real numbers, no pitch."
7015c6547a,Defacto,,,False,Fintech,1,ai act · Defacto,"Defacto's LLM for your LLM-driven decisions is high-risk under the EU AI Act (live Aug 2026), and providers change models with no changelog.
Verispect proves yours isn't drifting/biased in 1 line of code — we never see your data.
Free 5-min snapshot of your model? https://verispectai.com/founding

— Ajay, Verispect · https://verispectai.com/founding?unsub=7015c6547a to opt out",Defacto runs LLMs in your LLM-driven decisions; that's high-risk under the EU AI Act from Aug 2026. Built Verispect to prove a model isn't biased/drifting in 1 line (we never see your data). Worth connecting?,"thanks! quick + real: Aug 2026 the AI Act needs your your LLM-driven decisions model to prove no bias/drift. Verispect does it in one line, we never see your data.
free 5-min snapshot of Defacto's model? just your real numbers, no pitch."
d0e8744ccd,Mifundo,,,False,Fintech,1,ai act · Mifundo,"Mifundo's LLM for your LLM-driven decisions is high-risk under the EU AI Act (live Aug 2026), and providers change models with no changelog.
Verispect proves yours isn't drifting/biased in 1 line of code — we never see your data.
Free 5-min snapshot of your model? https://verispectai.com/founding

— Ajay, Verispect · https://verispectai.com/founding?unsub=d0e8744ccd to opt out",Mifundo runs LLMs in your LLM-driven decisions; that's high-risk under the EU AI Act from Aug 2026. Built Verispect to prove a model isn't biased/drifting in 1 line (we never see your data). Worth connecting?,"thanks! quick + real: Aug 2026 the AI Act needs your your LLM-driven decisions model to prove no bias/drift. Verispect does it in one line, we never see your data.
free 5-min snapshot of Mifundo's model? just your real numbers, no pitch."
d677b8d944,Plend,,,False,Fintech,1,ai act · Plend,"Plend's LLM for your LLM-driven decisions is high-risk under the EU AI Act (live Aug 2026), and providers change models with no changelog.
Verispect proves yours isn't drifting/biased in 1 line of code — we never see your data.
Free 5-min snapshot of your model? https://verispectai.com/founding

— Ajay, Verispect · https://verispectai.com/founding?unsub=d677b8d944 to opt out",Plend runs LLMs in your LLM-driven decisions; that's high-risk under the EU AI Act from Aug 2026. Built Verispect to prove a model isn't biased/drifting in 1 line (we never see your data). Worth connecting?,"thanks! quick + real: Aug 2026 the AI Act needs your your LLM-driven decisions model to prove no bias/drift. Verispect does it in one line, we never see your data.
free 5-min snapshot of Plend's model? just your real numbers, no pitch."
d9a72af50a,Baobab Insurance,,,False,Insurtech,1,art. 72 proof · Baobab Insurance,"Art. 72 + 10 of the AI Act (Aug 2026) need Baobab Insurance to *evidence* bias + drift monitoring for your LLM-driven decisions. Policy's easy; live proof isn't.
Verispect auto-generates it, article-mapped — and never sees your data (hashes + vectors only).
Want the sample report + a free snapshot? https://verispectai.com/founding

— Ajay, Verispect · https://verispectai.com/founding?unsub=d9a72af50a to opt out",Baobab Insurance runs LLMs in your LLM-driven decisions; that's high-risk under the EU AI Act from Aug 2026. Built Verispect to prove a model isn't biased/drifting in 1 line (we never see your data). Worth connecting?,"thanks! quick + real: Aug 2026 the AI Act needs your your LLM-driven decisions model to prove no bias/drift. Verispect does it in one line, we never see your data.
free 5-min snapshot of Baobab Insurance's model? just your real numbers, no pitch."
874967f1e4,Qantev,,,False,Insurtech,1,art. 72 proof · Qantev,"Art. 72 + 10 of the AI Act (Aug 2026) need Qantev to *evidence* bias + drift monitoring for your LLM-driven decisions. Policy's easy; live proof isn't.
Verispect auto-generates it, article-mapped — and never sees your data (hashes + vectors only).
Want the sample report + a free snapshot? https://verispectai.com/founding

— Ajay, Verispect · https://verispectai.com/founding?unsub=874967f1e4 to opt out",Qantev runs LLMs in your LLM-driven decisions; that's high-risk under the EU AI Act from Aug 2026. Built Verispect to prove a model isn't biased/drifting in 1 line (we never see your data). Worth connecting?,"thanks! quick + real: Aug 2026 the AI Act needs your your LLM-driven decisions model to prove no bias/drift. Verispect does it in one line, we never see your data.
free 5-min snapshot of Qantev's model? just your real numbers, no pitch."
c7367678b5,Sprout.ai,,,False,Insurtech,1,art. 72 proof · Sprout.ai,"Art. 72 + 10 of the AI Act (Aug 2026) need Sprout.ai to *evidence* bias + drift monitoring for your LLM-driven decisions. Policy's easy; live proof isn't.
Verispect auto-generates it, article-mapped — and never sees your data (hashes + vectors only).
Want the sample report + a free snapshot? https://verispectai.com/founding

— Ajay, Verispect · https://verispectai.com/founding?unsub=c7367678b5 to opt out",Sprout.ai runs LLMs in your LLM-driven decisions; that's high-risk under the EU AI Act from Aug 2026. Built Verispect to prove a model isn't biased/drifting in 1 line (we never see your data). Worth connecting?,"thanks! quick + real: Aug 2026 the AI Act needs your your LLM-driven decisions model to prove no bias/drift. Verispect does it in one line, we never see your data.
free 5-min snapshot of Sprout.ai's model? just your real numbers, no pitch."
51ae94d924,ClaimSorted,,,False,Insurtech,1,art. 72 proof · ClaimSorted,"Art. 72 + 10 of the AI Act (Aug 2026) need ClaimSorted to *evidence* bias + drift monitoring for your LLM-driven decisions. Policy's easy; live proof isn't.
Verispect auto-generates it, article-mapped — and never sees your data (hashes + vectors only).
Want the sample report + a free snapshot? https://verispectai.com/founding

— Ajay, Verispect · https://verispectai.com/founding?unsub=51ae94d924 to opt out",ClaimSorted runs LLMs in your LLM-driven decisions; that's high-risk under the EU AI Act from Aug 2026. Built Verispect to prove a model isn't biased/drifting in 1 line (we never see your data). Worth connecting?,"thanks! quick + real: Aug 2026 the AI Act needs your your LLM-driven decisions model to prove no bias/drift. Verispect does it in one line, we never see your data.
free 5-min snapshot of ClaimSorted's model? just your real numbers, no pitch."
def7bd15ad,SME Finance,,,False,Fintech,1,ai act · SME Finance,"SME Finance's LLM for your LLM-driven decisions is high-risk under the EU AI Act (live Aug 2026), and providers change models with no changelog.
Verispect proves yours isn't drifting/biased in 1 line of code — we never see your data.
Free 5-min snapshot of your model? https://verispectai.com/founding

— Ajay, Verispect · https://verispectai.com/founding?unsub=def7bd15ad to opt out",SME Finance runs LLMs in your LLM-driven decisions; that's high-risk under the EU AI Act from Aug 2026. Built Verispect to prove a model isn't biased/drifting in 1 line (we never see your data). Worth connecting?,"thanks! quick + real: Aug 2026 the AI Act needs your your LLM-driven decisions model to prove no bias/drift. Verispect does it in one line, we never see your data.
free 5-min snapshot of SME Finance's model? just your real numbers, no pitch."
124b447f90,Creamfinance,,,False,Fintech,1,ai act · Creamfinance,"Creamfinance's LLM for your LLM-driven decisions is high-risk under the EU AI Act (live Aug 2026), and providers change models with no changelog.
Verispect proves yours isn't drifting/biased in 1 line of code — we never see your data.
Free 5-min snapshot of your model? https://verispectai.com/founding

— Ajay, Verispect · https://verispectai.com/founding?unsub=124b447f90 to opt out",Creamfinance runs LLMs in your LLM-driven decisions; that's high-risk under the EU AI Act from Aug 2026. Built Verispect to prove a model isn't biased/drifting in 1 line (we never see your data). Worth connecting?,"thanks! quick + real: Aug 2026 the AI Act needs your your LLM-driven decisions model to prove no bias/drift. Verispect does it in one line, we never see your data.
free 5-min snapshot of Creamfinance's model? just your real numbers, no pitch."
bb8a284389,Bdeo,,,False,Insurtech,1,art. 72 proof · Bdeo,"Art. 72 + 10 of the AI Act (Aug 2026) need Bdeo to *evidence* bias + drift monitoring for your LLM-driven decisions. Policy's easy; live proof isn't.
Verispect auto-generates it, article-mapped — and never sees your data (hashes + vectors only).
Want the sample report + a free snapshot? https://verispectai.com/founding

— Ajay, Verispect · https://verispectai.com/founding?unsub=bb8a284389 to opt out",Bdeo runs LLMs in your LLM-driven decisions; that's high-risk under the EU AI Act from Aug 2026. Built Verispect to prove a model isn't biased/drifting in 1 line (we never see your data). Worth connecting?,"thanks! quick + real: Aug 2026 the AI Act needs your your LLM-driven decisions model to prove no bias/drift. Verispect does it in one line, we never see your data.
free 5-min snapshot of Bdeo's model? just your real numbers, no pitch."
6c7313a14e,Cleverea,,,False,Insurtech,1,art. 72 proof · Cleverea,"Art. 72 + 10 of the AI Act (Aug 2026) need Cleverea to *evidence* bias + drift monitoring for your LLM-driven decisions. Policy's easy; live proof isn't.
Verispect auto-generates it, article-mapped — and never sees your data (hashes + vectors only).
Want the sample report + a free snapshot? https://verispectai.com/founding

— Ajay, Verispect · https://verispectai.com/founding?unsub=6c7313a14e to opt out",Cleverea runs LLMs in your LLM-driven decisions; that's high-risk under the EU AI Act from Aug 2026. Built Verispect to prove a model isn't biased/drifting in 1 line (we never see your data). Worth connecting?,"thanks! quick + real: Aug 2026 the AI Act needs your your LLM-driven decisions model to prove no bias/drift. Verispect does it in one line, we never see your data.
free 5-min snapshot of Cleverea's model? just your real numbers, no pitch."
03207a56f7,omni:us,,,False,Insurtech,1,art. 72 proof · omni:us,"Art. 72 + 10 of the AI Act (Aug 2026) need omni:us to *evidence* bias + drift monitoring for your LLM-driven decisions. Policy's easy; live proof isn't.
Verispect auto-generates it, article-mapped — and never sees your data (hashes + vectors only).
Want the sample report + a free snapshot? https://verispectai.com/founding

— Ajay, Verispect · https://verispectai.com/founding?unsub=03207a56f7 to opt out",omni:us runs LLMs in your LLM-driven decisions; that's high-risk under the EU AI Act from Aug 2026. Built Verispect to prove a model isn't biased/drifting in 1 line (we never see your data). Worth connecting?,"thanks! quick + real: Aug 2026 the AI Act needs your your LLM-driven decisions model to prove no bias/drift. Verispect does it in one line, we never see your data.
free 5-min snapshot of omni:us's model? just your real numbers, no pitch."
b65f9a0c5e,MarvelX,,,False,Insurtech,1,art. 72 proof · MarvelX,"Art. 72 + 10 of the AI Act (Aug 2026) need MarvelX to *evidence* bias + drift monitoring for your LLM-driven decisions. Policy's easy; live proof isn't.
Verispect auto-generates it, article-mapped — and never sees your data (hashes + vectors only).
Want the sample report + a free snapshot? https://verispectai.com/founding

— Ajay, Verispect · https://verispectai.com/founding?unsub=b65f9a0c5e to opt out",MarvelX runs LLMs in your LLM-driven decisions; that's high-risk under the EU AI Act from Aug 2026. Built Verispect to prove a model isn't biased/drifting in 1 line (we never see your data). Worth connecting?,"thanks! quick + real: Aug 2026 the AI Act needs your your LLM-driven decisions model to prove no bias/drift. Verispect does it in one line, we never see your data.
free 5-min snapshot of MarvelX's model? just your real numbers, no pitch."
